,职位名,公司名,薪资,发布日期,工作时间/学历,地点,技术栈,详情页,Unnamed: 0
0,数据开发工程师,太古代科技,23k-46k,2020-03-13 03:00:17,1-3年/本科,北京·海淀区,数据分析,https://www.lagou.com/jobs/5702947.html,0
1,短期爬虫实习生,清数教育,2k-4k,2020-03-26 17:16:32,1年以下/大专,北京·海淀区,大数据/爬虫架构/网络爬虫/机器学习/数据抓取,https://www.lagou.com/jobs/6726458.html,1
2,软件开发工程师,乐融集团,15k-30k,2020-04-14 16:30:20,1-3年/本科,北京·朝阳区,大数据/广告营销/ETL/Hadoop/数据库,https://www.lagou.com/jobs/7019207.html,2
3,后端工程师,天一生才教育,6k-8k,2020-05-06 08:33:46,1年以下/不限,北京·朝阳区,教育/移动互联网/Linux/Unix/Python,https://www.lagou.com/jobs/6862264.html,3
4,后端开发工程师,天一生才教育,8k-10k,2020-05-06 08:33:46,1-3年/不限,北京·朝阳区,移动互联网/教育/Laravel/Python/MySQL,https://www.lagou.com/jobs/6862286.html,4
5,爬虫工程师,寻球,15k-20k,2020-05-15 15:54:31,1-3年/本科,北京·海淀区,金融/Java,https://www.lagou.com/jobs/6897129.html,5
6,爬虫工程师,百思科技,25k-50k,2020-05-18 11:43:03,1-3年/本科,北京·海淀区,媒体/新闻|出版/后端/python爬虫/爬虫架构,https://www.lagou.com/jobs/6735781.html,6
7,金融数据整理工程师,川谷金融科技,8k-15k,2020-05-25 10:29:20,1-3年/大专,北京·朝阳区,Oracle/ETL/MySQL/数据处理,https://www.lagou.com/jobs/7141602.html,7
8,数据工程师,BDA,22k-30k,2020-05-26 10:12:52,1-3年/硕士,北京·朝阳区,投资/融资/Java/算法/数据分析/数据处理,https://www.lagou.com/jobs/6878615.html,8
9,爬虫工程师,北京阿拉丁立方信息技术有限公司,8k-16k,2020-05-27 09:48:08,1-3年/不限,北京·朝阳区,大数据/企业服务/爬虫/爬虫架构/python爬虫,https://www.lagou.com/jobs/7048948.html,9
10,分析师,新经济100人,15k-25k,2020-05-29 14:41:40,1-3年/本科,北京·朝阳区,行业研究,https://www.lagou.com/jobs/6875163.html,10
11,投资经理,新经济100人,15k-25k,2020-05-29 14:41:40,1-3年/本科,北京·朝阳区,行业研究/分析师/VC/投资,https://www.lagou.com/jobs/6911575.html,11
12,小猿搜题-爬虫工程师 (MJ000837),猿辅导,20k-40k,2020-06-01 18:38:42,1-3年/本科,北京·朝阳区,移动互联网/电商/网络爬虫/爬虫工程师/爬虫架构/python爬虫,https://www.lagou.com/jobs/7197051.html,12
13,服务端开发高级工程师,360,15k-30k,2020-06-03 15:05:06,1-3年/本科,北京·朝阳区,移动互联网/C++/Shell/Python/Linux/Unix,https://www.lagou.com/jobs/6941553.html,13
14,高级爬虫工程师,核淘数据,15k-30k,2020-06-03 20:09:16,1-3年/本科,北京·朝阳区,大数据/企业服务/数据挖掘/数据处理/Linux/Redis,https://www.lagou.com/jobs/7218366.html,14
15,爬虫工程师,Max+&小黑盒,15k-30k,2020-06-04 18:58:46,1-3年/本科,北京·朝阳区,游戏/DB2/Storm/数据分析/MySQL,https://www.lagou.com/jobs/6436041.html,15
16,软件开发工程师,repconex,8k-16k,2020-06-05 11:41:41,1-3年/本科,北京·海淀区,后端/服务器端/客户端/分布式,https://www.lagou.com/jobs/6198227.html,16
17,后端研发工程师,百度,20k-26k,2020-06-08 16:10:52,1-3年/本科,北京·海淀区,信息安全/Python/GO/服务器端/C++,https://www.lagou.com/jobs/7260299.html,17
18,数据工程师,长城软件,5k-10k,2020-06-11 15:54:29,1年以下/大专,北京·海淀区,数据处理/数据库/IT支持,https://www.lagou.com/jobs/7279009.html,18
19,高级爬虫工程师（战略计划部）,悟空租车,20k-25k,2020-06-15 15:30:26,1-3年/本科,北京·东城区,大数据/电商/平台/爬虫工程师/爬虫/网络爬虫,https://www.lagou.com/jobs/7294125.html,19
20,数据开发工程师,北京氦图科技有限公司,18k-30k,2020-06-18 08:59:33,1-3年/本科,北京·海淀区,大数据/企业服务,https://www.lagou.com/jobs/7274670.html,20
21,搜索算法工程师,Easy Group,20k-30k,2020-06-19 01:37:15,1-3年/本科,北京·东城区,算法/搜索,https://www.lagou.com/jobs/7051671.html,21
22,爬虫工程师,三合鸿业,20k-30k,2020-06-19 11:13:58,1-3年/本科,北京·海淀区,爬虫架构/网络爬虫/python爬虫,https://www.lagou.com/jobs/7108233.html,22
23,Java开发,西盈信息,8k-15k,2020-06-23 10:17:35,1-3年/本科,北京·昌平区,大数据/移动互联网,https://www.lagou.com/jobs/5303355.html,23
24,爬虫工程师,百度(中国）有限公司东莞分公司,25k-35k,2020-06-23 11:45:32,1-3年/本科,北京·朝阳区,移动互联网/教育,https://www.lagou.com/jobs/7284459.html,24
25,爬虫工程师,快看漫画,18k-25k,2020-06-23 15:58:14,1-3年/本科,北京·朝阳区,大数据/移动互联网/Java/数据处理/Linux,https://www.lagou.com/jobs/6865006.html,25
26,网络爬虫研发工程师,人民在线,10k-20k,2020-06-24 09:23:38,1年以下/本科,北京·朝阳区,数据挖掘,https://www.lagou.com/jobs/4737891.html,26
27,网络爬虫工程师,知网,8k-15k,2020-06-24 10:49:25,1-3年/本科,北京·海淀区,数据挖掘/数据分析,https://www.lagou.com/jobs/5790582.html,27
28,安卓逆向,久谦咨询,22k-35k,2020-06-24 17:54:21,1-3年/本科,北京·朝阳区,大数据/新零售,https://www.lagou.com/jobs/7072067.html,28
29,高级爬虫工程师,久谦咨询,22k-35k,2020-06-24 17:54:22,1-3年/本科,北京·朝阳区,大数据,https://www.lagou.com/jobs/6967325.html,29
30,爬虫工程师,微博,12k-24k,2020-06-25 14:21:25,1-3年/本科,北京·海淀区,Java/数据库开发/数据仓库/数据处理,https://www.lagou.com/jobs/7298782.html,30
31,机器学习,北京睿企信息科技有限公司,20k-40k,2020-06-28 09:53:52,1-3年/本科,北京·东城区,人工智能/NLP/数据挖掘,https://www.lagou.com/jobs/6943539.html,31
32,python爬虫与数据工程师,百观Lab,10k-18k,2020-06-28 10:28:21,1-3年/本科,北京·东城区,,https://www.lagou.com/jobs/7324264.html,32
33,高级爬虫研发工程师,熵简科技,20k-40k,2020-06-28 12:53:04,1-3年/本科,北京·海淀区,互联网金融/SQLServer/MySQL/数据挖掘/Spark,https://www.lagou.com/jobs/7105612.html,33
34,Python爬虫工程师 (MJ000130),凤凰网,15k-25k,2020-06-28 13:59:05,1-3年/本科,北京·朝阳区,python爬虫/爬虫工程师/抓取/数据抓取,https://www.lagou.com/jobs/6861235.html,34
35,Python开发工程师,微创软件,14k-17k,2020-06-28 14:05:15,1-3年/本科,北京·海淀区,后端/Python/Shell/Hadoop,https://www.lagou.com/jobs/7109901.html,35
36,爬虫工程师,猿辅导,25k-35k,2020-06-28 14:05:40,1-3年/本科,北京·朝阳区,Python/抓取/爬虫,https://www.lagou.com/jobs/6260096.html,36
37,数据运营,外研在线,12k-20k,2020-06-28 14:21:30,1-3年/本科,北京·海淀区,教育,https://www.lagou.com/jobs/7330950.html,37
38,爬虫工程师,窄门集团,12k-24k,2020-06-28 15:12:51,1-3年/不限,北京·朝阳区,企业服务/大数据/数据架构/数据仓库/数据库/数据分析,https://www.lagou.com/jobs/6762431.html,38
39,Python讲师,小象学院,15k-25k,2020-06-28 15:59:25,1-3年/本科,北京·朝阳区,教育/爬虫/C++/算法,https://www.lagou.com/jobs/7173670.html,39
