职位名,公司名,薪资,发布日期,工作时间/学历,地点,技术栈,详情页,招聘网站
网络爬虫工程师,启智联心,12-16K,发布于05月29日,1-3年/不限,北京,Kafka/java应用开发/多线程开发/中间件/Hibernate,https://www.zhipin.com//job_detail/48b0b65b2b3d32010H192di1Flo~.html,BOOS
爬虫工程师,TokenInsight,12-20K,发布于05月30日,1-3年/本科,北京,MongoDB/网络爬虫技术/分布式技术/GIT/Redis,https://www.zhipin.com//job_detail/38e2b5873c262f7a33R72Nq6GFU~.html,BOOS
爬虫工程师,中投美华,10-15K,发布于06月03日,1-3年/大专,北京,JavaScript/HTML/爬虫框架/分布式爬虫/Pyspider,https://www.zhipin.com//job_detail/6d6b0c20bdc5c0220HJ52dS9FFs~.html,BOOS
爬虫工程师,北京果岸咨询,12-18K,发布于06月03日,1-3年/本科,北京,数据爬取/自然语言处理技术/精通python/Xpath/大数据相关,https://www.zhipin.com//job_detail/ee522d0d058ccb7e1nJ729-0EVs~.html,BOOS
爬虫工程师,TokenInsight,12-17K,发布于06月04日,1-3年/本科,北京,MongoDB/分布式技术/Redis/Linux/CSS,https://www.zhipin.com//job_detail/acb6f65fdbed41ce33R72N65GFM~.html,BOOS
爬虫工程师,360,15-25K·15薪,发布于06月08日,1-3年/本科,北京,Shell/网络爬虫技术/Python/linux环境/搜索系统,https://www.zhipin.com//job_detail/f62b0ecfcfbfa5c633Vy39W5E1U~.html,BOOS
爬虫工程师,欧特欧咨询,13-20K·13薪,发布于06月08日,1-3年/大专,北京,CSS/Python/JavaScript/Java/分布式爬虫,https://www.zhipin.com//job_detail/4433643e606caec80HF63Ny1F1E~.html,BOOS
数据爬虫工程师,城垣数字,6-11K,发布于06月09日,1-3年/本科,北京,HTML/CSS/爬虫框架/反爬/Xpath,https://www.zhipin.com//job_detail/2e154c910ca930ce33Z62N25GFo~.html,BOOS
爬虫工程师,捷通华声,11-22K,发布于06月10日,1-3年/本科,北京·海淀区,网络爬虫技术/自然语言处理/Linux/爬虫项目/linux开发环境,https://www.zhipin.com//job_detail/48804b78fca2709b0Xx-2N28GVI~.html,BOOS
爬虫工程师（人工智能）,捷通华声,15-25K,发布于06月10日,1-3年/本科,北京,反爬/爬虫/Python/爬虫项目/linux开发环境,https://www.zhipin.com//job_detail/e7b0eeb763a6b8dd33Z73dy9FlE~.html,BOOS
爬虫工程师,猿辅导,25-35K·14薪,发布于06月11日,1-3年/本科,北京,爬虫/爬虫框架/分布式爬虫/反爬虫/Xpath,https://www.zhipin.com//job_detail/1873f61a32a937220nR93N6-EVI~.html,BOOS
python爬虫工程师,捷通华声,15-20K,发布于06月11日,1-3年/本科,北京,反爬/爬虫/数据清洗/Python/数据处理,https://www.zhipin.com//job_detail/8ec8a715387efaac33Z52t2_F1A~.html,BOOS
爬虫工程师（小猿搜题）,猿辅导,25-35K·14薪,发布于06月11日,1-3年/本科,北京,爬虫工程师/网络爬虫技术/爬虫/爬虫框架/分布式爬虫,https://www.zhipin.com//job_detail/43cd881f1dc11d8833V83d2_EVE~.html,BOOS
Java开发工程师（爬虫项目）,搜狐,15-25K·15薪,发布于06月12日,1-3年/本科,北京,SQL/网络爬虫技术/熟悉分布式/分布式系统设计/消息队列,https://www.zhipin.com//job_detail/64121a0e45f4671633Z829m9FlE~.html,BOOS
Java研发工程师（爬虫）,航班管家,11-18K,发布于06月12日,1-3年/本科,北京,分布式技术/网络爬虫技术/分布式架构/Kafka/多线程开发,https://www.zhipin.com//job_detail/ee3694132370b4880HJ40t-0ElU~.html,BOOS
爬虫工程师,航班管家,13-20K,发布于06月15日,1-3年/本科,北京,分布式技术/网络协议/网络爬虫技术/分布式架构/Kafka,https://www.zhipin.com//job_detail/511007c3782a47e233Zz3960FlU~.html,BOOS
爬虫工程师,微博,12-24K·14薪,发布于06月16日,1-3年/本科,北京,爬虫工程师/分布式技术/数据存储/Java/爬虫框架,https://www.zhipin.com//job_detail/b854f5545d0045a333d63dS5GVE~.html,BOOS
爬虫工程师,硬核聚视,15-30K,发布于06月16日,1-3年/本科,北京,PhantomJS/Xpath/Scrapy/正则表达式/网页抓取,https://www.zhipin.com//job_detail/21882472d3f419181XF93dq7F1A~.html,BOOS
爬虫工程师,七麦科技,18-30K,发布于06月16日,1-3年/大专,北京,网络爬虫技术/Xposed/分布式技术/CSS/移动端,https://www.zhipin.com//job_detail/5738584c145753320XR93di8EFI~.html,BOOS
爬虫工程师,北京华承汇科技有...,13-18K,发布于06月18日,1-3年/本科,北京,爬虫工程师/网络爬虫技术/分布式技术/JavaScript/Linux,https://www.zhipin.com//job_detail/21183f31445b1e9733Z43d25F1s~.html,BOOS
爬虫工程师,贝塔科技,12-20K·14薪,发布于06月18日,1-3年/本科,北京,爬虫/BI/游戏/广告/RESTful,https://www.zhipin.com//job_detail/be756050205a305733d70t21FFY~.html,BOOS
高级爬虫工程师,灵矶互联,20-40K,发布于06月18日,1-3年/硕士,北京·朝阳区,NoSQL/网络爬虫技术/Redis/架构师/MySQL,https://www.zhipin.com//job_detail/2514b34aad0d9d410nx809m9F1E~.html,BOOS
爬虫工程师,牧游科技,15-25K·14薪,发布于06月19日,1-3年/大专,北京,网络爬虫技术/网页抓取/爬虫项目/正则表达式/熟悉多线程,https://www.zhipin.com//job_detail/d853cf8ec817f89033R43di7EVQ~.html,BOOS
Python爬虫工程师 (MJ000130),凤凰网,15-25K,发布于06月22日,1-3年/本科,北京,网络爬虫技术/反爬/爬虫开发/PhantomJS/网页抓取,https://www.zhipin.com//job_detail/5fe4df793126b6e70X1z2dy9E1c~.html,BOOS
Python 高级工程师（爬虫方向）,金惠科技,11-16K,发布于06月22日,1-3年/本科,北京,网页抓取/MongoDB/高可用/数据库调优/爬虫系统,https://www.zhipin.com//job_detail/2675dfca218de3b733Z52t28GVU~.html,BOOS
爬虫工程师,融汇金信,20-30K,发布于06月24日,1-3年/硕士,北京,Java/爬虫开发/网页抓取/爬虫工程师/爬虫系统,https://www.zhipin.com//job_detail/e734f59e92474c070HZ939q8F1U~.html,BOOS
python抓取爬虫工程师,微播易,10-15K,发布于06月25日,1-3年/本科,北京,爬虫工程师/爬虫框架/爬虫开发/网页抓取/Scrapy,https://www.zhipin.com//job_detail/e8c31c0c1b0d74db33d_3926E1A~.html,BOOS
Scraping Engineer (爬虫工程师),上镜公司,12-20K,发布于昨天,1-3年/本科,北京,网络爬虫技术/Python/Scrapy/爬虫工程师/Cloud,https://www.zhipin.com//job_detail/0a80006cb472dde10Xxy0925FlQ~.html,BOOS
