职位名,公司名,薪资,发布日期,工作时间/学历,地点,技术栈,详情页,招聘网站
短期爬虫实习生,清数教育,2k-4k,发布于3月26日,1年以下/大专,北京·海淀区,大数据/爬虫架构/网络爬虫/机器学习/数据抓取,https://www.lagou.com/jobs/6726458.html,拉钩
爬虫工程师,寻球,15k-20k,发布于5月15日,1-3年/本科,北京·海淀区,金融/Java,https://www.lagou.com/jobs/6897129.html,拉钩
爬虫工程师,百思科技,25k-50k,发布于5月18日,1-3年/本科,北京·海淀区,媒体/新闻|出版/后端/python爬虫/爬虫架构,https://www.lagou.com/jobs/6735781.html,拉钩
爬虫工程师,北京阿拉丁立方信息技术有限公司,8k-16k,发布于5月27日,1-3年/不限,北京·朝阳区,大数据/企业服务/爬虫/爬虫架构/python爬虫,https://www.lagou.com/jobs/7048948.html,拉钩
小猿搜题-爬虫工程师 (MJ000837),猿辅导,20k-40k,发布于6月1日,1-3年/本科,北京·朝阳区,移动互联网/电商/网络爬虫/爬虫工程师/爬虫架构/python爬虫,https://www.lagou.com/jobs/7197051.html,拉钩
高级爬虫工程师,核淘数据,15k-30k,发布于6月3日,1-3年/本科,北京·朝阳区,大数据/企业服务/数据挖掘/数据处理/Linux/Redis,https://www.lagou.com/jobs/7218366.html,拉钩
爬虫工程师,Max+&小黑盒,15k-30k,发布于6月4日,1-3年/本科,北京·朝阳区,游戏/DB2/Storm/数据分析/MySQL,https://www.lagou.com/jobs/6436041.html,拉钩
高级爬虫工程师（战略计划部）,悟空租车,20k-25k,发布于6月15日,1-3年/本科,北京·东城区,大数据/电商/平台/爬虫工程师/爬虫/网络爬虫,https://www.lagou.com/jobs/7294125.html,拉钩
爬虫工程师,三合鸿业,20k-30k,发布于6月19日,1-3年/本科,北京·海淀区,爬虫架构/网络爬虫/python爬虫,https://www.lagou.com/jobs/7108233.html,拉钩
爬虫工程师,百度(中国）有限公司东莞分公司,25k-35k,发布于6月23日,1-3年/本科,北京·朝阳区,移动互联网/教育,https://www.lagou.com/jobs/7284459.html,拉钩
爬虫工程师,快看漫画,18k-25k,发布于6月23日,1-3年/本科,北京·朝阳区,大数据/移动互联网/Java/数据处理/Linux,https://www.lagou.com/jobs/6865006.html,拉钩
网络爬虫研发工程师,人民在线,10k-20k,发布于6月24日,1年以下/本科,北京·朝阳区,数据挖掘,https://www.lagou.com/jobs/4737891.html,拉钩
网络爬虫工程师,知网,8k-15k,发布于6月24日,1-3年/本科,北京·海淀区,数据挖掘/数据分析,https://www.lagou.com/jobs/5790582.html,拉钩
高级爬虫工程师,久谦咨询,22k-35k,发布于6月24日,1-3年/本科,北京·朝阳区,大数据,https://www.lagou.com/jobs/6967325.html,拉钩
爬虫工程师,微博,12k-24k,发布于6月25日,1-3年/本科,北京·海淀区,Java/数据库开发/数据仓库/数据处理,https://www.lagou.com/jobs/7298782.html,拉钩
python爬虫与数据工程师,百观Lab,10k-18k,发布于6月28日,1-3年/本科,北京·东城区,,https://www.lagou.com/jobs/7324264.html,拉钩
高级爬虫研发工程师,熵简科技,20k-40k,发布于6月28日,1-3年/本科,北京·海淀区,互联网金融/SQLServer/MySQL/数据挖掘/Spark,https://www.lagou.com/jobs/7105612.html,拉钩
Python爬虫工程师 (MJ000130),凤凰网,15k-25k,发布于6月28日,1-3年/本科,北京·朝阳区,python爬虫/爬虫工程师/抓取/数据抓取,https://www.lagou.com/jobs/6861235.html,拉钩
爬虫工程师,猿辅导,25k-35k,发布于6月28日,1-3年/本科,北京·朝阳区,Python/抓取/爬虫,https://www.lagou.com/jobs/6260096.html,拉钩
爬虫工程师,窄门集团,12k-24k,发布于6月28日,1-3年/不限,北京·朝阳区,企业服务/大数据/数据架构/数据仓库/数据库/数据分析,https://www.lagou.com/jobs/6762431.html,拉钩
