,职位名,公司名,薪资,发布日期,工作时间/学历,地点,详情页
0,爬虫工程师,新华网股份有限公司,1-2万/月,发布于05-06,2年经验/本科,北京-西城区,https://jobs.51job.com/beijing-xcq/120700352.html?s=01&t=0
1,图像识别算法工程师,北京灵数科技有限公司,1-1.5万/月,发布于05-15,2年经验/本科,北京-海淀区,https://jobs.51job.com/beijing-hdq/121986828.html?s=01&t=0
2,Python开发工程师,北京阿拉丁立方信息技术有限公司,1-1.5万/月,发布于05-26,2年经验/大专,北京-朝阳区,https://jobs.51job.com/beijing-cyq/121412625.html?s=01&t=0
3,爬虫工程师,北京阿拉丁立方信息技术有限公司,0.8-1.5万/月,发布于05-28,2年经验/本科,北京-朝阳区,https://jobs.51job.com/beijing-cyq/121361295.html?s=01&t=0
4,爬虫工程师（美团、饿了么经验）,北京阿拉丁立方信息技术有限公司,1-1.5万/月,发布于05-28,1年经验/大专,北京-朝阳区,https://jobs.51job.com/beijing-cyq/121488836.html?s=01&t=0
5,JAVA培训讲师,北京友聚四海网络科技有限公司,2.5-3万/月,发布于05-30,2年经验/本科,北京-朝阳区,https://jobs.51job.com/beijing-cyq/115003730.html?s=01&t=0
6,媒介研究员,航美传媒集团有限公司,0.7-1万/月,发布于06-01,1年经验/本科,北京-朝阳区,https://jobs.51job.com/beijing-cyq/120974908.html?s=01&t=0
7,Java开发工程师,北京智见思远科技有限公司,2.5-3万/月,发布于06-01,2年经验/本科,北京-朝阳区,https://jobs.51job.com/beijing-cyq/122468132.html?s=01&t=0
8,Python网络爬虫工程师,北京今朝在线科技有限公司,1-1.2万/月,发布于06-03,1年经验/大专,北京-朝阳区,https://jobs.51job.com/beijing-cyq/122505607.html?s=01&t=0
9,Python开发工程师,北京华文天元信息咨询有限公司,0.8-1.5万/月,发布于06-08,2年经验/大专,北京-朝阳区,https://jobs.51job.com/beijing-cyq/122260543.html?s=01&t=0
10,数据分析专员(J10797),北京好租科技发展有限公司,6-8千/月,发布于06-14,1年经验/大专,北京-海淀区,https://jobs.51job.com/beijing-hdq/122794417.html?s=01&t=0
11,.net C#高级开发工程师,北京今朝在线科技有限公司,0.8-1.2万/月,发布于06-16,2年经验/大专,北京-朝阳区,https://jobs.51job.com/beijing-cyq/51604039.html?s=01&t=0
12,Python开发（情报分析平台）,北京启明星辰信息安全技术有限公司,1.2-2万/月,发布于06-17,2年经验/本科,北京-海淀区,https://jobs.51job.com/beijing-hdq/121726061.html?s=01&t=0
13,Python讲师,湖南潭州教育网络科技有限公司北京分公司,4-8千/月,发布于06-17,1年经验/大专,北京-石景山区,https://jobs.51job.com/beijing-sjsq/120284474.html?s=01&t=0
14,软件开发工程师（爬虫） (MJ000035),北京万方数据股份有限公司,1-1.8万/月,发布于06-18,2年经验/本科,北京-海淀区,https://jobs.51job.com/beijing-hdq/121598084.html?s=01&t=0
15,中级爬虫工程师（国研大数据研究院）,国研科技集团有限公司,1.2-2.5万/月,发布于06-19,2年经验/本科,北京-东城区,https://jobs.51job.com/beijing-dcq/122920403.html?s=01&t=0
16,SEM/SEO优化师,金顶置业（上海）有限公司,0.8-1.2万/月,发布于06-20,2年经验/大专,北京-朝阳区,https://jobs.51job.com/beijing-cyq/122901170.html?s=01&t=0
17,SEM专员,金顶置业（上海）有限公司,0.8-1.2万/月,发布于06-20,2年经验/大专,北京-朝阳区,https://jobs.51job.com/beijing-cyq/122966363.html?s=01&t=0
18,软件测试工程师,泰雷兹智能卡科技（北京）有限公司,1-2万/月,发布于06-22,2年经验/本科,北京,https://jobs.51job.com/beijing/102750885.html?s=01&t=0
19,大数据开发工程师,国衡智慧城市科技研究院（北京）有限公司,0.8-1万/月,发布于06-22,2年经验/大专,北京,https://jobs.51job.com/beijing/114889104.html?s=01&t=0
20,Java开发工程师,大庆油田工程有限公司北京分公司,0.8-1.2万/月,发布于06-22,2年经验/本科,北京,https://jobs.51job.com/beijing/107873176.html?s=01&t=0
21,Java开发/Java开发工程师,国衡智慧城市科技研究院（北京）有限公司,0.8-1万/月,发布于06-22,2年经验/大专,北京,https://jobs.51job.com/beijing/107980771.html?s=01&t=0
22,数据工程师(002099),北京辰安科技股份有限公司,1.4-1.6万/月,发布于06-23,1年经验/本科,北京,https://jobs.51job.com/beijing/120350710.html?s=01&t=0
23,python爬虫数据分析员,北京海峰科技有限责任公司,0.8-1万/月,发布于06-24,1年经验/本科,北京-西城区,https://jobs.51job.com/beijing-xcq/122635711.html?s=01&t=0
24,数据工程师,北京海峰科技有限责任公司,6-8千/月,发布于06-24,1年经验/本科,北京-西城区,https://jobs.51job.com/beijing-xcq/121939416.html?s=01&t=0
25,爬虫工程师,北京捷通华声科技股份有限公司,1-2万/月,发布于06-26,1年经验/本科,北京,https://jobs.51job.com/beijing/111174597.html?s=01&t=0
26,SEO专员,英诺莱比（长沙）智能科技有限公司,0.7-1万/月,发布于06-27,2年经验/本科,北京-顺义区,https://jobs.51job.com/beijing-syq/111773746.html?s=01&t=0
27,python爬虫工程师（菱歌数字科技）,北京鼎盛阳光咨询有限公司,1-2万/月,发布于06-28,2年经验/本科,北京-朝阳区,https://jobs.51job.com/beijing-cyq/123081782.html?s=01&t=0
28,python爬虫分析工程师,北京海峰科技有限责任公司,1-1.5万/月,发布于06-28,2年经验/本科,北京-西城区,https://jobs.51job.com/beijing-xcq/123191583.html?s=01&t=0
29,中级爬虫,北京三六九数动科技有限公司,1-1.5万/月,发布于06-28,2年经验/本科,北京-朝阳区,https://jobs.51job.com/beijing-cyq/114432595.html?s=01&t=0
30,网络爬虫软件工程师(java),北京优捷信达信息科技有限公司,0.5-1万/月,发布于06-28,1年经验/本科,北京-朝阳区,https://jobs.51job.com/beijing-cyq/114525035.html?s=01&t=0
31,媒介研究员,航美传媒集团有限公司,6-8千/月,发布于06-28,1年经验/本科,北京,https://jobs.51job.com/beijing/122976035.html?s=01&t=0
32,Python开发工程师,北京中软融通科技有限公司,0.7-2万/月,发布于06-28,2年经验/本科,北京,https://jobs.51job.com/beijing/112936784.html?s=01&t=0
33,服务端开发工程师,奇虎360科技有限公司,2-2.5万/月,发布于06-28,2年经验/本科,北京,https://jobs.51job.com/beijing/121516517.html?s=01&t=0
34,安全开发工程师,中邮信息科技（北京）有限公司,2-3万/月,发布于06-28,2年经验/本科,北京,https://jobs.51job.com/beijing/119573854.html?s=01&t=0
