,职位名,公司名,薪资,发布日期,工作时间/学历,地点,技术栈,详情页
0,行业研究,新经济100人,16-20K,发布于05月28日,1-3年/本科,北京·朝阳区,基金从业资格证/投融资/项目筛选/一级市场/投行,https://www.zhipin.com//job_detail/427edf7e152f1da40HR709y-EVU~.html
1,spider策略算法工程师,百度,25-50K,发布于05月29日,1-3年/本科,北京·海淀区,深度学习算法/搜索算法/C++/自然语言处理/机器学习,https://www.zhipin.com//job_detail/36ca8e358c26718b33R42di-GVU~.html
2,网络爬虫工程师,启智联心,12-16K,发布于05月29日,1-3年/不限,北京,Kafka/java应用开发/多线程开发/中间件/Hibernate,https://www.zhipin.com//job_detail/48b0b65b2b3d32010H192di1Flo~.html
3,爬虫工程师,TokenInsight,12-20K,发布于05月30日,1-3年/本科,北京,MongoDB/网络爬虫技术/分布式技术/GIT/Redis,https://www.zhipin.com//job_detail/38e2b5873c262f7a33R72Nq6GFU~.html
4,产品经理,去哪儿,15-25K·16薪,发布于05月30日,1-3年/本科,北京·海淀区,平台产品/供应链/商业产品/后台产品/策略产品,https://www.zhipin.com//job_detail/b0a12c6413ac22660HFy09i0FFs~.html
5,后端工程师,《科学美国人》中文版,15-28K,发布于06月01日,1-3年/本科,北京·朝阳区,Java爬虫/Nginx/ElasticSearch/Kotlin/后端开发工程师,https://www.zhipin.com//job_detail/0cfbfc5942ffea9d1HNy2t6-EVE~.html
6,媒介研究员,航美传媒,8-10K,发布于06月01日,1-3年/本科,北京·朝阳区,数据仓库/商业分析/数据库开发/数据挖掘/广告,https://www.zhipin.com//job_detail/7a905cc81c822b770HB_3ty7FVU~.html
7,算法工程师（蜘蛛方向）,360,20-30K,发布于06月02日,1-3年/本科,北京,C++/服务端/搜索系统/linux环境/蜘蛛,https://www.zhipin.com//job_detail/34e065f7700ecf2a0HB_3N29FVA~.html
8,Java 后端 2-3年,明行科技,7-10K,发布于06月02日,1-3年/本科,北京,微服务架构/GIT/SVN/Spring/网络爬虫技术,https://www.zhipin.com//job_detail/7e5d4f019316996d33R909u8EVY~.html
9,服务端开发高级工程师,360,15-25K,发布于06月02日,1-3年/本科,北京,Shell/Python/服务端开发/linux环境/搜索系统,https://www.zhipin.com//job_detail/224fe41065af33110HVz0t60FVM~.html
10,爬虫工程师,中投美华,10-15K,发布于06月03日,1-3年/大专,北京,JavaScript/HTML/爬虫框架/分布式爬虫/Pyspider,https://www.zhipin.com//job_detail/6d6b0c20bdc5c0220HJ52dS9FFs~.html
11,爬虫工程师,北京果岸咨询,12-18K,发布于06月03日,1-3年/本科,北京,数据爬取/自然语言处理技术/精通python/Xpath/大数据相关,https://www.zhipin.com//job_detail/ee522d0d058ccb7e1nJ729-0EVs~.html
12,爬虫工程师,TokenInsight,12-17K,发布于06月04日,1-3年/本科,北京,MongoDB/分布式技术/Redis/Linux/CSS,https://www.zhipin.com//job_detail/acb6f65fdbed41ce33R72N65GFM~.html
13,数据抓取工程师,今日头条,23-46K,发布于06月05日,1-3年/本科,北京·海淀区,数据抓取/计算机网络/Xpath/linux开发环境/Python爬虫,https://www.zhipin.com//job_detail/aae709f84dda79b01XR53ty4GVM~.html
14,爬虫工程师,360,15-25K·15薪,发布于06月08日,1-3年/本科,北京,Shell/网络爬虫技术/Python/linux环境/搜索系统,https://www.zhipin.com//job_detail/f62b0ecfcfbfa5c633Vy39W5E1U~.html
15,爬虫工程师,欧特欧咨询,13-20K·13薪,发布于06月08日,1-3年/大专,北京,CSS/Python/JavaScript/Java/分布式爬虫,https://www.zhipin.com//job_detail/4433643e606caec80HF63Ny1F1E~.html
16,Python工程师,智医纵横,6-10K,发布于06月08日,1-3年/大专,北京,爬虫框架/Tornado/Web框架/Flask/python开发工程师,https://www.zhipin.com//job_detail/325918d29c2ee8580HN72tW4FFY~.html
17,JAVA工程师,兴艾科技,15-20K·14薪,发布于06月08日,1-3年/本科,北京,熟悉分布式/RPC/常用设计模式/NoSQL/java性能,https://www.zhipin.com//job_detail/ed45a6b4a2c32b740nR-2961FlI~.html
18,数据工程师,BDAChina,22-23K·18薪,发布于06月08日,1-3年/硕士,北京·朝阳区,网络爬虫技术/分布式技术/后端开发/分布式爬虫/爬虫框架,https://www.zhipin.com//job_detail/10f3100c30be0c170XJ53NS0EFo~.html
19,Python讲师,猿辅导,12-20K·16薪,发布于06月08日,1-3年/本科,北京,爬虫/HTML/CSS/爬虫程序/Python讲师,https://www.zhipin.com//job_detail/9973568c6f333b9e33V90ti1ElM~.html
20,数据爬虫工程师,城垣数字,6-11K,发布于06月09日,1-3年/本科,北京,HTML/CSS/爬虫框架/反爬/Xpath,https://www.zhipin.com//job_detail/2e154c910ca930ce33Z62N25GFo~.html
21,Python开发工程师,万企盟科技,8-13K,发布于06月09日,1-3年/大专,北京,区块链/交易所/Tornado/爬虫开发/Flask,https://www.zhipin.com//job_detail/e418d526aed68b4533Ry09y4EVE~.html
22,爬虫工程师,捷通华声,11-22K,发布于06月10日,1-3年/本科,北京·海淀区,网络爬虫技术/自然语言处理/Linux/爬虫项目/linux开发环境,https://www.zhipin.com//job_detail/48804b78fca2709b0Xx-2N28GVI~.html
23,Python开发工程师,风行网,10-15K·15薪,发布于06月10日,1-3年/本科,北京,SQL/反爬虫/爬虫开发/Xpath/python开发工程师,https://www.zhipin.com//job_detail/2bb418bbb671c53c33Z72t-1F1Q~.html
24,物联网安全研究员(北京),物鼎安全,14-20K·14薪,发布于06月10日,1-3年/大专,北京·海淀区,安全运维/流量分析/物联网/渗透工具/Metasploit,https://www.zhipin.com//job_detail/522a72ec0a7aa29d33Z42du_F1A~.html
25,爬虫工程师（人工智能）,捷通华声,15-25K,发布于06月10日,1-3年/本科,北京,反爬/爬虫/Python/爬虫项目/linux开发环境,https://www.zhipin.com//job_detail/e7b0eeb763a6b8dd33Z73dy9FlE~.html
26,NLP算法工程师,中科凡语,25-50K,发布于06月10日,1-3年/本科,北京,句法分析/机器翻译/文本分类/序列标注/分词,https://www.zhipin.com//job_detail/51b0a2fa1613b2091HZy0ty4GVc~.html
27,NLP算法工程师,中科凡语,25-50K,发布于06月10日,1-3年/本科,北京,句法分析/机器翻译/文本分类/序列标注/分词,https://www.zhipin.com//job_detail/51b0a2fa1613b2091HZy0ty4GVc~.html
28,爬虫工程师（人工智能）,捷通华声,15-25K,发布于06月10日,1-3年/本科,北京,反爬/爬虫/Python/爬虫项目/linux开发环境,https://www.zhipin.com//job_detail/e7b0eeb763a6b8dd33Z73dy9FlE~.html
29,投资经理,新经济100人,15-25K,发布于06月10日,1-3年/本科,北京,股权投资/行业研究/一级市场/投资工作/投行,https://www.zhipin.com//job_detail/a78b5ee1d71cbdb60HRz3t-6EFQ~.html
30,爬虫工程师,猿辅导,25-35K·14薪,发布于06月11日,1-3年/本科,北京,爬虫/爬虫框架/分布式爬虫/反爬虫/Xpath,https://www.zhipin.com//job_detail/1873f61a32a937220nR93N6-EVI~.html
31,python爬虫工程师,捷通华声,15-20K,发布于06月11日,1-3年/本科,北京,反爬/爬虫/数据清洗/Python/数据处理,https://www.zhipin.com//job_detail/8ec8a715387efaac33Z52t2_F1A~.html
32,爬虫工程师（小猿搜题）,猿辅导,25-35K·14薪,发布于06月11日,1-3年/本科,北京,爬虫工程师/网络爬虫技术/爬虫/爬虫框架/分布式爬虫,https://www.zhipin.com//job_detail/43cd881f1dc11d8833V83d2_EVE~.html
33,Java开发工程师（爬虫项目）,搜狐,15-25K·15薪,发布于06月12日,1-3年/本科,北京,SQL/网络爬虫技术/熟悉分布式/分布式系统设计/消息队列,https://www.zhipin.com//job_detail/64121a0e45f4671633Z829m9FlE~.html
34,数据分析专员,若羽臣,6-8K,发布于06月12日,1-3年/本科,北京·大兴区,电子商务/电商运营/数据分析/数据处理工具/数据分析专员,https://www.zhipin.com//job_detail/a7b0da81626a35c20H1439m_GFU~.html
35,Java研发工程师（爬虫）,航班管家,11-18K,发布于06月12日,1-3年/本科,北京,分布式技术/网络爬虫技术/分布式架构/Kafka/多线程开发,https://www.zhipin.com//job_detail/ee3694132370b4880HJ40t-0ElU~.html
36,Java,思创祥云,9-14K,发布于06月12日,1-3年/本科,北京,Netty/网络协议/后端开发/学信网/爬虫技术,https://www.zhipin.com//job_detail/72133fe9333deafd0HV83di5EVI~.html
