职位名,公司名,薪资,发布日期,工作时间/学历,地点,技术栈,招聘网站,详情页
高级爬虫工程师,北京智慧星光信息技术有限公司,13K-25K,发布于2月23日,1-3年本科,北京-海淀区,反爬/爬虫/数据采集/数据抓取/Python,智联,https://jobs.zhaopin.com/CC467352913J00396225304.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
短期爬虫实习生,清数教育,2k-4k,发布于3月26日,1年以下/大专,北京·海淀区,大数据/爬虫架构/网络爬虫/机器学习/数据抓取,拉钩,https://www.lagou.com/jobs/6726458.html
爬虫工程师,新华网股份有限公司,1-2万/月,发布于5月06日,2年经验/本科,北京-西城区,,51job,https://jobs.51job.com/beijing-xcq/120700352.html?s=01&t=0
0231K9-高级爬虫工程师,中国平安人寿保险股份有限公司,薪资面议,发布于5月08日,1-3年本科,北京,,智联,https://jobs.zhaopin.com/CC171014429J00536101403.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
爬虫工程师,寻球,15k-20k,发布于5月15日,1-3年/本科,北京·海淀区,金融/Java,拉钩,https://www.lagou.com/jobs/6897129.html
爬虫工程师,百思科技,25k-50k,发布于5月18日,1-3年/本科,北京·海淀区,媒体/新闻|出版/后端/python爬虫/爬虫架构,拉钩,https://www.lagou.com/jobs/6735781.html
C#爬虫工程师,中科点击(北京)科技有限公司,15K-20K,发布于5月20日,1-3年本科,北京-丰台区,Python/数据抓取/爬虫,智联,https://jobs.zhaopin.com/CC213711910J00282595011.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
爬虫工程师,北京新智科技发展有限公司,12K-24K,发布于5月25日,1-3年本科,北京,,智联,https://jobs.zhaopin.com/CC276418730J00189010509.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
爬虫工程师,北京阿拉丁立方信息技术有限公司,8k-16k,发布于5月27日,1-3年/不限,北京·朝阳区,大数据/企业服务/爬虫/爬虫架构/python爬虫,拉钩,https://www.lagou.com/jobs/7048948.html
数据挖掘工程师（爬虫）,河北千喜鹤饮食股份有限公司,12K-16K,发布于5月27日,1-3年本科,北京-海淀区,数据统计/数据分析/数据处理/爬虫,智联,https://jobs.zhaopin.com/CC130227733J00230990010.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
爬虫工程师,北京阿拉丁立方信息技术有限公司,0.8-1.5万/月,发布于5月28日,2年经验/本科,北京-朝阳区,,51job,https://jobs.51job.com/beijing-cyq/121361295.html?s=01&t=0
爬虫工程师（美团、饿了么经验）,北京阿拉丁立方信息技术有限公司,1-1.5万/月,发布于5月28日,1年经验/大专,北京-朝阳区,,51job,https://jobs.51job.com/beijing-cyq/121488836.html?s=01&t=0
网络爬虫工程师,启智联心,12-16K,发布于5月29日,1-3年/不限,北京,Kafka/java应用开发/多线程开发/中间件/Hibernate,BOOS,https://www.zhipin.com//job_detail/48b0b65b2b3d32010H192di1Flo~.html
爬虫工程师,TokenInsight,12-20K,发布于5月30日,1-3年/本科,北京,MongoDB/网络爬虫技术/分布式技术/GIT/Redis,BOOS,https://www.zhipin.com//job_detail/38e2b5873c262f7a33R72Nq6GFU~.html
小猿搜题-爬虫工程师 (MJ000837),猿辅导,20k-40k,发布于6月01日,1-3年/本科,北京·朝阳区,移动互联网/电商/网络爬虫/爬虫工程师/爬虫架构/python爬虫,拉钩,https://www.lagou.com/jobs/7197051.html
Python爬虫工程师(J10618),北京天融信科技有限公司,10K-15K,发布于6月01日,1-3年本科,北京-海淀区,Python/爬虫/抓取,智联,https://jobs.zhaopin.com/CC000327562J00193413312.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
java爬虫工程师,北京新联财通咨询有限公司,10K-15K,发布于6月01日,1-3年本科,北京,,智联,https://jobs.zhaopin.com/CC133755311J00132812710.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
爬虫工程师,中润信投(北京)房地产开发有限公司,10K-15K,发布于6月02日,1-3年本科,北京,网络爬虫/系统爬虫/反爬/数据采集/数据抓取/爬虫,智联,https://jobs.zhaopin.com/CC120405636J00227103312.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
高级爬虫开发工程师,北京清华同衡规划设计研究院有限公司,15K-20K,发布于6月02日,1-3年本科,北京-海淀区,,智联,https://jobs.zhaopin.com/CC131807982J00117183910.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
爬虫工程师,中投美华,10-15K,发布于6月03日,1-3年/大专,北京,JavaScript/HTML/爬虫框架/分布式爬虫/Pyspider,BOOS,https://www.zhipin.com//job_detail/6d6b0c20bdc5c0220HJ52dS9FFs~.html
爬虫工程师,北京果岸咨询,12-18K,发布于6月03日,1-3年/本科,北京,数据爬取/自然语言处理技术/精通python/Xpath/大数据相关,BOOS,https://www.zhipin.com//job_detail/ee522d0d058ccb7e1nJ729-0EVs~.html
高级爬虫工程师,核淘数据,15k-30k,发布于6月03日,1-3年/本科,北京·朝阳区,大数据/企业服务/数据挖掘/数据处理/Linux/Redis,拉钩,https://www.lagou.com/jobs/7218366.html
Python网络爬虫工程师,北京今朝在线科技有限公司,1-1.2万/月,发布于6月03日,1年经验/大专,北京-朝阳区,,51job,https://jobs.51job.com/beijing-cyq/122505607.html?s=01&t=0
爬虫工程师,TokenInsight,12-17K,发布于6月04日,1-3年/本科,北京,MongoDB/分布式技术/Redis/Linux/CSS,BOOS,https://www.zhipin.com//job_detail/acb6f65fdbed41ce33R72N65GFM~.html
爬虫工程师,Max+&小黑盒,15k-30k,发布于6月04日,1-3年/本科,北京·朝阳区,游戏/DB2/Storm/数据分析/MySQL,拉钩,https://www.lagou.com/jobs/6436041.html
python爬虫工程师,中汇恒升(北京)信息咨询有限公司,6K-10K,发布于6月05日,1-3年大专,北京-朝阳区,系统维护,智联,https://jobs.zhaopin.com/CCL1228762740J00263794010.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
爬虫工程师,360,15-25K·15薪,发布于6月08日,1-3年/本科,北京,Shell/网络爬虫技术/Python/linux环境/搜索系统,BOOS,https://www.zhipin.com//job_detail/f62b0ecfcfbfa5c633Vy39W5E1U~.html
爬虫工程师,欧特欧咨询,13-20K·13薪,发布于6月08日,1-3年/大专,北京,CSS/Python/JavaScript/Java/分布式爬虫,BOOS,https://www.zhipin.com//job_detail/4433643e606caec80HF63Ny1F1E~.html
爬虫工程师（急聘）,中网数据(北京)股份有限公司,10K-20K,发布于6月08日,1-3年本科,北京,java爬虫/爬虫工程师/爬虫架构/python爬虫/网络爬虫/数据抓取,智联,https://jobs.zhaopin.com/CC335272932J00268370311.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
数据爬虫工程师,城垣数字,6-11K,发布于6月09日,1-3年/本科,北京,HTML/CSS/爬虫框架/反爬/Xpath,BOOS,https://www.zhipin.com//job_detail/2e154c910ca930ce33Z62N25GFo~.html
爬虫工程师,捷通华声,11-22K,发布于6月10日,1-3年/本科,北京·海淀区,网络爬虫技术/自然语言处理/Linux/爬虫项目/linux开发环境,BOOS,https://www.zhipin.com//job_detail/48804b78fca2709b0Xx-2N28GVI~.html
爬虫工程师（人工智能）,捷通华声,15-25K,发布于6月10日,1-3年/本科,北京,反爬/爬虫/Python/爬虫项目/linux开发环境,BOOS,https://www.zhipin.com//job_detail/e7b0eeb763a6b8dd33Z73dy9FlE~.html
爬虫工程师（人工智能）,捷通华声,15-25K,发布于6月10日,1-3年/本科,北京,反爬/爬虫/Python/爬虫项目/linux开发环境,BOOS,https://www.zhipin.com//job_detail/e7b0eeb763a6b8dd33Z73dy9FlE~.html
爬虫工程师,中投美华国际投资有限公司,10K-15K,发布于6月10日,1-3年大专,北京,系统爬虫/网络爬虫/反爬/爬虫/数据采集/数据抓取,智联,https://jobs.zhaopin.com/CCL1216522100J00253248210.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
爬虫工程师,猿辅导,25-35K·14薪,发布于6月11日,1-3年/本科,北京,爬虫/爬虫框架/分布式爬虫/反爬虫/Xpath,BOOS,https://www.zhipin.com//job_detail/1873f61a32a937220nR93N6-EVI~.html
python爬虫工程师,捷通华声,15-20K,发布于6月11日,1-3年/本科,北京,反爬/爬虫/数据清洗/Python/数据处理,BOOS,https://www.zhipin.com//job_detail/8ec8a715387efaac33Z52t2_F1A~.html
爬虫工程师（小猿搜题）,猿辅导,25-35K·14薪,发布于6月11日,1-3年/本科,北京,爬虫工程师/网络爬虫技术/爬虫/爬虫框架/分布式爬虫,BOOS,https://www.zhipin.com//job_detail/43cd881f1dc11d8833V83d2_EVE~.html
爬虫,北京捷通华声科技股份有限公司,15K-25K,发布于6月11日,1-3年本科,北京-海淀区,Python/爬虫工程师/python爬虫/数据采集/数据抓取,智联,https://jobs.zhaopin.com/CC120359452J00260344614.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
网络爬虫实施工程师,北京顶尖时代科技发展有限公司,5K-7K,发布于6月11日,1-3年大专,北京,java,智联,https://jobs.zhaopin.com/CC157789923J00073539914.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
爬虫工程师,新华网股份有限公司,10K-20K,发布于6月12日,1-3年本科,北京,网络爬虫/html,智联,https://jobs.zhaopin.com/CC415728824J00239741410.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
爬虫,东台市威凡科技中心,15K-28K,发布于6月12日,1-3年本科,北京-大兴区,反爬/爬虫/破壳/系统爬虫/网络爬虫/抓取,智联,https://jobs.zhaopin.com/CCL1218330910J00447885904.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
爬虫工程师,航班管家,13-20K,发布于6月15日,1-3年/本科,北京,分布式技术/网络协议/网络爬虫技术/分布式架构/Kafka,BOOS,https://www.zhipin.com//job_detail/511007c3782a47e233Zz3960FlU~.html
高级爬虫工程师（战略计划部）,悟空租车,20k-25k,发布于6月15日,1-3年/本科,北京·东城区,大数据/电商/平台/爬虫工程师/爬虫/网络爬虫,拉钩,https://www.lagou.com/jobs/7294125.html
高级爬虫工程师,脚印兄弟(北京)信息科技有限责任公司,20K-30K,发布于6月15日,1-3年本科,北京,Python/爬虫/数据抓取/系统爬虫/抓取,智联,https://jobs.zhaopin.com/CC213550584J00272931113.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
爬虫工程师,微博,12-24K·14薪,发布于6月16日,1-3年/本科,北京,爬虫工程师/分布式技术/数据存储/Java/爬虫框架,BOOS,https://www.zhipin.com//job_detail/b854f5545d0045a333d63dS5GVE~.html
