,职位名,公司名,薪资,发布日期,工作时间/学历,地点,技术栈,详情页
0,Java后端开发工程师（10-8-5）,老虎证券,16-25K·14薪,发布于06月02日,1年以内/本科,北京·朝阳区,Spring/MySQL/消息队列/高并发/高性能,https://www.zhipin.com//job_detail/ddc42eaba0a3b9b90XF909W0EVs~.html
1,UI设计师,壹蔻,12-22K,发布于06月08日,1年以内/不限,北京,交互/UI/界面视觉设计/视觉规范/UX,https://www.zhipin.com//job_detail/b4d281f39c2817871HZy3d64EFo~.html
2,数据产品经理,京东数字科技,20-39K,发布于06月08日,1年以内/本科,北京·通州区,移动产品/产品经理/数据产品经理/采集方案/数据技术,https://www.zhipin.com//job_detail/4c9cb3012f0e105f1XJ40t6-E1A~.html
3,产品助理/专员,云哔网络,5-10K·14薪,发布于06月09日,1年以内/本科,北京,产品迭代/市场调研/产品助理/输出原型/交互逻辑,https://www.zhipin.com//job_detail/d59f6bb578bcb0e10H1729S5F1Q~.html
4,web前端开发工程师,中睿天下,15-25K,发布于06月10日,1年以内/本科,北京·海淀区,BootStrap/CSS3/前端构建/Canvas/JavaScript,https://www.zhipin.com//job_detail/a18663e99992bb8c1nBz09-8FFc~.html
5,web前端开发工程师,昆仑医云,15-20K,发布于06月11日,1年以内/本科,北京,JavaScript/CSS/Electron/构建工具/前端工程,https://www.zhipin.com//job_detail/dd9346908bc910820HB-09i-EFo~.html
6,英语翻译,欧科云链,10-15K·14薪,发布于06月11日,1年以内/本科,北京·海淀区,CATTI/笔译/口译/口译证书/翻译经验,https://www.zhipin.com//job_detail/4b2a41c91127d6c60X173Nm5EFc~.html
7,web前端开发工程师,金科汇智,6-11K,发布于06月12日,1年以内/本科,北京,JavaScript/HTML/移动端/CSS/ES5,https://www.zhipin.com//job_detail/da9c883afa0e939c33Z_0tq4FFs~.html
8,web前端,中国科学院软件研究所,10-15K·13薪,发布于06月14日,1年以内/本科,北京·海淀区,JavaScript/HTML/GIT/SVN/CSS,https://www.zhipin.com//job_detail/2a76649833c53f2c0XJ-2t-9EVI~.html
9,前端app软件开发工程师,博睿移动,10-15K,发布于06月15日,1年以内/大专,北京·朝阳区,常用控件/通信机制/React Native/Socket通信/内存管理,https://www.zhipin.com//job_detail/f3d68b1adcb95a911HB52N29E1I~.html
10,前端开发实习生,独到科技,8-12K,发布于06月16日,1年以内/本科,北京,小程序/SaaS/物联网/后端开发/人工智能,https://www.zhipin.com//job_detail/434a1b9d90cdd3500HRz3tm9E1c~.html
11,UI设计师,北京尚德机构,4-5K,发布于06月16日,1年以内/大专,北京·朝阳区,App设计/网页设计/UI/视觉稿/Sketch,https://www.zhipin.com//job_detail/1f80d1969c7578341n1y2Nm1F1o~.html
12,实施实习生,CYCLONE RPA,8-13K,发布于06月17日,1年以内/本科,北京,实习生/主流数据库/熟练掌握sql/SQL/J2EE,https://www.zhipin.com//job_detail/25bca65a98fd9ad90Hx9392-E1s~.html
13,数聚力-数据可视化架构师,京东数字科技,20-40K,发布于06月17日,1年以内/本科,北京·通州区,Grunt/构建工具/Gulp/Three.js/WebGL,https://www.zhipin.com//job_detail/3aea62e3add3fbd41nJ909u9ElU~.html
14,web前端开发实习生,驷骑中天,3-4K,发布于06月18日,1年以内/本科,北京,JavaScript/HTML/CSS/H5/JS库,https://www.zhipin.com//job_detail/627263df5b75b0a933d_2Nq-EFs~.html
15,web前端开发实习生,北京九思泰物联网...,3-4K,发布于06月18日,1年以内/本科,北京,JavaScript/HTML/Flash开发/CSS/H5,https://www.zhipin.com//job_detail/231928f3c4d49e3833d_2Nq1F1o~.html
16,SEO. Specialist,氦图科技,10-15K,发布于06月18日,1年以内/硕士,北京,WordPress/JavaScript/CSS/Search/HTML,https://www.zhipin.com//job_detail/c0c390155bdd06ce33d50tS0EFI~.html
17,初级测试工程师,卡车之家,6-10K,发布于06月19日,1年以内/本科,北京·朝阳区,自动化测试/性能测试/功能测试/执行测试任务/初级测试工程师,https://www.zhipin.com//job_detail/5594e4c7bd9a303003x72965GFU~.html
